Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.820100000000000051e+01,3.176899999999999835e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000236749649047852e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.810399999999999920e+01,3.225800000000000267e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.000553369522094727e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,3.167200000000000060e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.000886201858520508e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.001277446746826172e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,3.171999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.001856803894042969e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.780999999999999872e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.002344131469726562e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.776099999999999923e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.002511501312255859e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.751699999999999946e+01,3.084100000000000108e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.002985954284667969e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737000000000000099e+01,3.128099999999999881e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.003311395645141602e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.741900000000000048e+01,3.171999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000388884544372559e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.737000000000000099e+01,3.089000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100446081161499023e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.776099999999999923e+01,3.123199999999999932e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200501632690429688e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.761499999999999844e+01,3.059600000000000009e+01,2.300000000000000000e+01,2.300000000000000000e+01
