Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001021385192871094e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.224439859390258789e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.355772018432617188e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.513332366943359375e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.660143852233886719e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.826352357864379883e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.127179999999999893e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.042718172073364258e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.127179999999999893e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.216645479202270508e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.159409999999999741e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.036254024505615234e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.159409999999999741e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.150478625297546387e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.191639999999999944e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.263629674911499023e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.223869999999999791e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.377437686920166016e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.223869999999999791e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.491747331619262695e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.256099999999999994e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.616650009155273438e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.288329999999999842e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.729337668418884277e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.320559999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.846266245841979980e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.352789999999999893e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.958938264846801758e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.385019999999999740e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.075670075416564941e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.417249999999999943e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.192488670349121094e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.449479999999999791e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.317546868324279785e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.481709999999999638e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.429083609580993652e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.513939999999999841e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.544374823570251465e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.546169999999999689e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.658045244216918945e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.578399999999999892e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.771123647689819336e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.610629999999999740e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.883297491073608398e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.642859999999999943e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.003861212730407715e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.675089999999999790e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.117012166976928711e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.707319999999999638e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.231151151657104492e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.739549999999999841e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.343672561645507812e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.771779999999999688e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.460167002677917480e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.804009999999999891e+01,2.127179999999999893e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.574887442588806152e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.868469999999999942e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.690926170349121094e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.868469999999999942e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.812904691696166992e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.932929999999999637e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.929643177986145020e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.965159999999999840e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.042591166496276855e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.997389999999999688e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.159420967102050781e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.029619999999999891e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.272469949722290039e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.029619999999999891e+01,2.159409999999999741e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.386770439147949219e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.094079999999999586e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.501812076568603516e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.126309999999999789e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.617154121398925781e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.126309999999999789e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.732616043090820312e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.158539999999999637e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.847315716743469238e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.190769999999999840e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.963209056854248047e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.222999999999999687e+01,2.223869999999999791e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.078107738494873047e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.222999999999999687e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.193768787384033203e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.255229999999999535e+01,2.191639999999999944e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.317968440055847168e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.287460000000000093e+01,2.223869999999999791e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.434909629821777344e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.287460000000000093e+01,2.223869999999999791e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.549326062202453613e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.319689999999999941e+01,2.223869999999999791e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.665249252319335938e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.319689999999999941e+01,2.223869999999999791e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.779911422729492188e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.351919999999999789e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.896181869506835938e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.351919999999999789e+01,2.223869999999999791e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.022882270812988281e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.384149999999999636e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.139563775062561035e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.384149999999999636e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.255184292793273926e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.416379999999999484e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.371644759178161621e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.448610000000000042e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.486643981933593750e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.448610000000000042e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.619223189353942871e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.480839999999999890e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.734333515167236328e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.480839999999999890e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.850837731361389160e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.480839999999999890e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.966830062866210938e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.513069999999999737e+01,2.288329999999999842e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.083691954612731934e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.513069999999999737e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.205179786682128906e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.545299999999999585e+01,2.256099999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.322573590278625488e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.545299999999999585e+01,2.288329999999999842e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.439045715332031250e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.545299999999999585e+01,2.288329999999999842e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.555835509300231934e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.577529999999999433e+01,2.288329999999999842e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.669220042228698730e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.577529999999999433e+01,2.288329999999999842e+01,2.300000000000000000e+01,2.300000000000000000e+01
