Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000371932983398438e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.212526321411132812e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.409208059310913086e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.051800000000000068e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.753384113311767578e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.964466333389282227e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.172464609146118164e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.374439001083374023e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.575015544891357422e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.077199959754943848e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.051800000000000068e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.198555636405944824e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.051800000000000068e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.317628622055053711e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.438809347152709961e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.056700000000000017e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.561478996276855469e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.042000000000000171e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.682564210891723633e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.032300000000000040e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.804468345642089844e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.017600000000000193e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.926531863212585449e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.017600000000000193e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.048952293395996094e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.012700000000000244e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.171267104148864746e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.012700000000000244e+01,2.991199999999999903e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.290941405296325684e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.007800000000000296e+01,2.986299999999999955e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.410605883598327637e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.007800000000000296e+01,2.991199999999999903e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.536632394790649414e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.007800000000000296e+01,2.986299999999999955e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.660014629364013672e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.007800000000000296e+01,2.981400000000000006e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.780509996414184570e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.007800000000000296e+01,2.986299999999999955e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.898840761184692383e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.002900000000000347e+01,2.986299999999999955e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.019389748573303223e+01,1.500000000000234479e+01,0.000000000000000000e+00,3.997999999999999687e+01,2.991199999999999903e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.139768934249877930e+01,8.774999999999799627e+01,0.000000000000000000e+00,3.988300000000000267e+01,2.986299999999999955e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.268075895309448242e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.983400000000000318e+01,2.991199999999999903e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.390683150291442871e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.973599999999999710e+01,2.996099999999999852e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.512128758430480957e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.958899999999999864e+01,2.996099999999999852e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.632955884933471680e+01,1.000000000000000000e+02,0.000000000000000000e+00,3.954099999999999682e+01,2.986299999999999955e+01,2.300000000000000000e+01,2.300000000000000000e+01
