Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000291109085083008e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001065492630004883e+00,0.000000000000000000e+00,3.132570067892570975e+01,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.001894235610961914e+00,0.000000000000000000e+00,3.112075471321142217e+01,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.002228498458862305e+00,0.000000000000000000e+00,3.091580874749713814e+01,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.002824068069458008e+00,0.000000000000000000e+00,6.511042469769954266e-01,2.062719999999999843e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.003448963165283203e+00,0.000000000000000000e+00,5.980469967941843379e+01,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.004031896591186523e+00,0.000000000000000000e+00,3.030097085035427895e+01,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.004398822784423828e+00,0.000000000000000000e+00,3.009602488463999492e+01,2.094949999999999690e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.004784107208251953e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062719999999999843e+01,2.094949999999999690e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000516080856323242e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100575685501098633e+01,6.045594519339887540e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200648069381713867e+01,6.083314509339887621e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300704836845397949e+01,6.173062760094310875e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.127179999999999893e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400755167007446289e+01,6.109025533139887898e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500799846649169922e+01,2.316038253594285123e+01,0.000000000000000000e+00,2.127179999999999893e+01,2.127179999999999893e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600841546058654785e+01,6.136303595894310092e+01,0.000000000000000000e+00,2.127179999999999893e+01,2.127179999999999893e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.700869989395141602e+01,6.173385431894310216e+01,0.000000000000000000e+00,2.127179999999999893e+01,2.127179999999999893e+01,4.000000000000000000e+01,0.000000000000000000e+00
