Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.639300000000000068e+01,2.619699999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000973224639892578e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.634400000000000119e+01,2.605099999999999838e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001930713653564453e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.634400000000000119e+01,2.610000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.002855777740478516e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.629500000000000171e+01,2.600199999999999889e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.003440380096435547e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.634400000000000119e+01,2.614900000000000091e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003814697265625000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.644200000000000017e+01,2.624599999999999866e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.004216670989990234e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.639300000000000068e+01,2.600199999999999889e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.004722356796264648e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.639300000000000068e+01,2.614900000000000091e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.005091905593872070e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.629500000000000171e+01,2.605099999999999838e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.005558490753173828e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.614900000000000091e+01,2.605099999999999838e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000644493103027344e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.639300000000000068e+01,2.595299999999999940e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100728964805603027e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.639300000000000068e+01,2.605099999999999838e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200759029388427734e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.629500000000000171e+01,2.595299999999999940e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300837326049804688e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.634400000000000119e+01,2.619699999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
