Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.062719999999999843e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000828742980957031e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.062719999999999843e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001382589340209961e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.002338171005249023e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.003081083297729492e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.003877878189086914e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.004629135131835938e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.005181312561035156e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.062719999999999843e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.006172895431518555e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.007023811340332031e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000764751434326172e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100806999206542969e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200879192352294922e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.094949999999999690e+01,2.094949999999999690e+01,2.300000000000000000e+01,2.300000000000000000e+01
