Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.785900000000000176e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000483989715576172e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.844600000000000151e+01,2.785900000000000176e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001312494277954102e+00,0.000000000000000000e+00,6.388050387765714788e+01,2.869000000000000128e+01,2.795700000000000074e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.001683473587036133e+00,0.000000000000000000e+00,3.604094798695403767e+01,2.859199999999999875e+01,2.785900000000000176e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.002044200897216797e+00,0.000000000000000000e+00,2.104502660513151113e+01,2.834799999999999898e+01,2.780999999999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.002457857131958008e+00,0.000000000000000000e+00,3.746628381820863041e+01,2.829899999999999949e+01,2.780999999999999872e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.002918243408203125e+00,0.000000000000000000e+00,5.439879441490585066e+01,2.844600000000000151e+01,2.785900000000000176e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.003437042236328125e+00,0.000000000000000000e+00,3.615069593848259899e+01,2.839699999999999847e+01,2.790800000000000125e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.004149198532104492e+00,0.000000000000000000e+00,3.740976793184003668e+01,2.839699999999999847e+01,2.810399999999999920e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.004291057586669922e+00,0.000000000000000000e+00,3.698472785755427594e+01,2.839699999999999847e+01,2.829899999999999949e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000447344779968262e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.829899999999999949e+01,2.834799999999999898e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100512170791625977e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.869000000000000128e+01,2.883699999999999974e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200574660301208496e+01,5.510766952039109867e+01,0.000000000000000000e+00,2.854299999999999926e+01,2.883699999999999974e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300634288787841797e+01,3.218889661933950208e+01,0.000000000000000000e+00,2.859199999999999875e+01,2.903200000000000003e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400653505325317383e+01,4.447186435287994044e+01,0.000000000000000000e+00,2.854299999999999926e+01,2.937399999999999878e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500717687606811523e+01,2.670293280233613231e+01,0.000000000000000000e+00,2.864099999999999824e+01,2.957000000000000028e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600780463218688965e+01,1.475937690614838971e+01,0.000000000000000000e+00,2.883699999999999974e+01,2.981400000000000006e+01,4.000000000000000000e+01,0.000000000000000000e+00
