Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.688200000000000145e+01,2.561100000000000065e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000226497650146484e+00,0.000000000000000000e+00,1.000000000000000000e+02,2.688200000000000145e+01,2.600199999999999889e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.000973701477050781e+00,0.000000000000000000e+00,4.383827737961139803e+01,2.688200000000000145e+01,2.585500000000000043e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.001637458801269531e+00,0.000000000000000000e+00,4.179271496818284248e+01,2.688200000000000145e+01,2.580600000000000094e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.002341747283935547e+00,0.000000000000000000e+00,5.231973024687405882e+01,2.702799999999999869e+01,2.590399999999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.002621650695800781e+00,0.000000000000000000e+00,4.615919082622598069e+01,2.707700000000000173e+01,2.585500000000000043e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.003052234649658203e+00,0.000000000000000000e+00,5.328458108763702228e+01,2.722400000000000020e+01,2.590399999999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.003348112106323242e+00,0.000000000000000000e+00,3.601555645692862129e+01,2.717500000000000071e+01,2.590399999999999991e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.003916740417480469e+00,0.000000000000000000e+00,3.011644684044010489e+01,2.707700000000000173e+01,2.595299999999999940e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.004327774047851562e+00,0.000000000000000000e+00,5.869927106891115898e+01,2.732199999999999918e+01,2.614900000000000091e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000491261482238770e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.727299999999999969e+01,2.624599999999999866e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100505375862121582e+01,2.967367295086384971e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.634400000000000119e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200599193572998047e+01,4.138724232572800332e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.639300000000000068e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300679683685302734e+01,4.179901150031999890e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.653999999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400719475746154785e+01,4.213705801926857220e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.673499999999999943e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.500785350799560547e+01,4.240265769872457469e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.693100000000000094e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.600846028327941895e+01,4.219211596899657479e+01,0.000000000000000000e+00,2.737000000000000099e+01,2.683299999999999841e+01,4.000000000000000000e+01,0.000000000000000000e+00
