Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.541499999999999915e+01,2.443799999999999883e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000705003738403320e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.541499999999999915e+01,2.443799999999999883e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.001010656356811523e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.541499999999999915e+01,2.443799999999999883e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.001311779022216797e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.541499999999999915e+01,2.443799999999999883e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.001899480819702148e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.556200000000000117e+01,2.463299999999999912e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.002222299575805664e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.566000000000000014e+01,2.482900000000000063e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.002831459045410156e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.590399999999999991e+01,2.473100000000000165e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.003361701965332031e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.590399999999999991e+01,2.482900000000000063e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.003560781478881836e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.590399999999999991e+01,2.492699999999999960e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.004035949707031250e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.590399999999999991e+01,2.492699999999999960e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000443029403686523e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.590399999999999991e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.100667762756347656e+01,4.951833974999993870e+01,0.000000000000000000e+00,2.585500000000000043e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.200691628456115723e+01,2.603530215000018799e+01,0.000000000000000000e+00,2.600199999999999889e+01,2.468199999999999861e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.300827217102050781e+01,4.977286874999994382e+01,0.000000000000000000e+00,2.595299999999999940e+01,2.478000000000000114e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.400866794586181641e+01,2.628789074999976094e+01,0.000000000000000000e+00,2.610000000000000142e+01,2.487800000000000011e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.501444339752197266e+01,3.806628705000005652e+01,0.000000000000000000e+00,2.614900000000000091e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.601505494117736816e+01,8.418123450000088326e+00,0.000000000000000000e+00,2.644200000000000017e+01,2.487800000000000011e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.701570558547973633e+01,6.146707544999982531e+01,0.000000000000000000e+00,2.629500000000000171e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.801610159873962402e+01,3.229941330000012556e+01,0.000000000000000000e+00,2.639300000000000068e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.901625251770019531e+01,3.824474445000006995e+01,0.000000000000000000e+00,2.644200000000000017e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.001667881011962891e+01,4.434045660000000311e+01,0.000000000000000000e+00,2.644200000000000017e+01,2.487800000000000011e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.101745009422302246e+01,1.483784280000002909e+01,0.000000000000000000e+00,2.668599999999999994e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.201807546615600586e+01,2.020439519999981925e+01,0.000000000000000000e+00,2.688200000000000145e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.301822018623352051e+01,4.377318660000000250e+01,0.000000000000000000e+00,2.688200000000000145e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.401877045631408691e+01,3.805430805000005989e+01,0.000000000000000000e+00,2.693100000000000094e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.501951360702514648e+01,1.436927580000002891e+01,0.000000000000000000e+00,2.717500000000000071e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.602019643783569336e+01,3.168337590000012227e+01,0.000000000000000000e+00,2.727299999999999969e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.702073025703430176e+01,1.979745074999996746e+01,0.000000000000000000e+00,2.746799999999999997e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.802779912948608398e+01,4.921433054999994283e+01,0.000000000000000000e+00,2.741900000000000048e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
2.902843546867370605e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.795700000000000074e+01,2.502400000000000091e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.002879142761230469e+01,5.393162609999987467e+01,0.000000000000000000e+00,2.785900000000000176e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.102942967414855957e+01,7.891983000001445703e-01,0.000000000000000000e+00,2.820100000000000051e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.202984857559204102e+01,2.375889615000018651e+01,0.000000000000000000e+00,2.834799999999999898e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.303058743476867676e+01,2.951416709999969967e+01,0.000000000000000000e+00,2.844600000000000151e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.403090810775756836e+01,1.162640160000002609e+01,0.000000000000000000e+00,2.869000000000000128e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.503142166137695312e+01,2.891050470000012496e+01,0.000000000000000000e+00,2.878800000000000026e+01,2.502400000000000091e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.603185534477233887e+01,2.285118495000019223e+01,0.000000000000000000e+00,2.893499999999999872e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.703202891349792480e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.932600000000000051e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.803251886367797852e+01,3.934434240000000216e+01,0.000000000000000000e+00,2.932600000000000051e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
3.903305220603942871e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.981400000000000006e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.003998327255249023e+01,3.804835320000000110e+01,0.000000000000000000e+00,2.981400000000000006e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.104048871994018555e+01,2.378346299999940072e+00,0.000000000000000000e+00,3.010800000000000054e+01,2.502400000000000091e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.204069519042968750e+01,1.374534314999996099e+01,0.000000000000000000e+00,3.030300000000000082e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.304092240333557129e+01,1.321301520000024254e+01,0.000000000000000000e+00,3.049899999999999878e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.404137444496154785e+01,9.605128499996524738e-01,0.000000000000000000e+00,3.079200000000000159e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.504182744026184082e+01,3.000887505000006072e+01,0.000000000000000000e+00,3.084100000000000108e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.604620647430419922e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.132900000000000063e+01,2.482900000000000063e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.704658675193786621e+01,4.036675500000022510e+01,0.000000000000000000e+00,3.128099999999999881e+01,2.492699999999999960e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.804722809791564941e+01,5.059989000000033599e+00,0.000000000000000000e+00,3.152499999999999858e+01,2.517099999999999937e+01,4.000000000000000000e+01,0.000000000000000000e+00
4.904779410362243652e+01,4.474126800000032489e+00,0.000000000000000000e+00,3.176899999999999835e+01,2.497599999999999909e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.004839468002319336e+01,3.365449560000000417e+01,0.000000000000000000e+00,3.176899999999999835e+01,2.526899999999999835e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.104957032203674316e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.230700000000000216e+01,2.512199999999999989e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.205031943321228027e+01,3.813430994999993118e+01,0.000000000000000000e+00,3.225800000000000267e+01,2.521999999999999886e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.305111551284790039e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.274699999999999989e+01,2.507300000000000040e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.405896234512329102e+01,3.094991460000000316e+01,0.000000000000000000e+00,3.274699999999999989e+01,2.536700000000000088e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.505932760238647461e+01,1.322461800000024112e+00,0.000000000000000000e+00,3.299099999999999966e+01,2.531800000000000139e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.605961537361145020e+01,5.855602500003094235e-01,0.000000000000000000e+00,3.323599999999999710e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.706018185615539551e+01,2.985580620000001062e+01,0.000000000000000000e+00,3.323599999999999710e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.806087088584899902e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.367499999999999716e+01,2.546399999999999864e+01,4.000000000000000000e+01,0.000000000000000000e+00
5.906104493141174316e+01,2.265513525000007178e+01,0.000000000000000000e+00,3.372399999999999665e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.006143593788146973e+01,2.262804884999920674e+01,0.000000000000000000e+00,3.377300000000000324e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.106193590164184570e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.421300000000000097e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.206252813339233398e+01,2.721953519999999926e+01,0.000000000000000000e+00,3.421300000000000097e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.306306624412536621e+01,9.398272950000183812e+00,0.000000000000000000e+00,3.435999999999999943e+01,2.526899999999999835e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.406365537643432617e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.460399999999999920e+01,2.531800000000000139e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.506406235694885254e+01,1.428083910000012224e+01,0.000000000000000000e+00,3.470199999999999818e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.606431579589843750e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.504399999999999693e+01,2.551300000000000168e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.706488156318664551e+01,7.048052549999329841e+00,0.000000000000000000e+00,3.519100000000000250e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.806558609008789062e+01,3.658229189999986630e+01,0.000000000000000000e+00,3.509300000000000352e+01,2.546399999999999864e+01,4.000000000000000000e+01,0.000000000000000000e+00
6.906623649597167969e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.558200000000000074e+01,2.536700000000000088e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.006716299057006836e+01,1.167928244999983889e+01,0.000000000000000000e+00,3.567900000000000205e+01,2.541499999999999915e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.106757092475891113e+01,1.134321210000011604e+01,0.000000000000000000e+00,3.577700000000000102e+01,2.531800000000000139e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.206841373443603516e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.607000000000000028e+01,2.551300000000000168e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.306893396377563477e+01,1.021910670000012189e+01,0.000000000000000000e+00,3.616799999999999926e+01,2.546399999999999864e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.406917905807495117e+01,9.992277900000125612e+00,0.000000000000000000e+00,3.626599999999999824e+01,2.551300000000000168e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.506990385055541992e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.650999999999999801e+01,2.546399999999999864e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.607009744644165039e+01,3.031226550000187814e+00,0.000000000000000000e+00,3.665699999999999648e+01,2.566000000000000014e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.707189655303955078e+01,2.655782414999994856e+01,0.000000000000000000e+00,3.660799999999999699e+01,2.570899999999999963e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.807237720489501953e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.695000000000000284e+01,2.580600000000000094e+01,4.000000000000000000e+01,0.000000000000000000e+00
7.907294321060180664e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.714600000000000080e+01,2.585500000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.007354259490966797e+01,1.913594759999999795e+01,0.000000000000000000e+00,3.714600000000000080e+01,2.585500000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.107925963401794434e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.734100000000000108e+01,2.580600000000000094e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.207978844642639160e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.763400000000000034e+01,2.585500000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.308008313179016113e+01,1.768512239999999736e+01,0.000000000000000000e+00,3.763400000000000034e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.408563470840454102e+01,2.358857160000021835e+01,0.000000000000000000e+00,3.758599999999999852e+01,2.585500000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.508653545379638672e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.778099999999999881e+01,2.585500000000000043e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.608703351020812988e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.812299999999999756e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.708748888969421387e+01,1.626934320000000511e+01,0.000000000000000000e+00,3.812299999999999756e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.808781909942626953e+01,2.228512274999994602e+01,0.000000000000000000e+00,3.807399999999999807e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
8.908795785903930664e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.841599999999999682e+01,2.575799999999999912e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.008866715431213379e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.861200000000000188e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.108899235725402832e+01,1.483421939999999140e+01,0.000000000000000000e+00,3.861200000000000188e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.208929729461669922e+01,1.486170179999999164e+01,0.000000000000000000e+00,3.861200000000000188e+01,2.580600000000000094e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.308961606025695801e+01,2.931954300000114699e+00,0.000000000000000000e+00,3.871000000000000085e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.409027552604675293e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.905199999999999960e+01,2.595299999999999940e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.509081816673278809e+01,7.577039250000060733e+00,0.000000000000000000e+00,3.910099999999999909e+01,2.590399999999999991e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.609135508537292480e+01,1.342210320000000046e+01,0.000000000000000000e+00,3.910099999999999909e+01,2.595299999999999940e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.709165382385253906e+01,1.343990340000000039e+01,0.000000000000000000e+00,3.910099999999999909e+01,2.605099999999999838e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.809206390380859375e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.939399999999999835e+01,2.580600000000000094e+01,4.000000000000000000e+01,0.000000000000000000e+00
9.909228157997131348e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.958899999999999864e+01,2.600199999999999889e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.000925807952880859e+02,1.195036919999999903e+01,0.000000000000000000e+00,3.958899999999999864e+01,2.624599999999999866e+01,4.000000000000000000e+01,0.000000000000000000e+00
1.010927550792694092e+02,1.195850700000000089e+01,0.000000000000000000e+00,3.958899999999999864e+01,2.614900000000000091e+01,4.000000000000000000e+01,0.000000000000000000e+00
