Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.839699999999999847e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000216245651245117e+00,6.693516575261531898e+01,0.000000000000000000e+00,2.839699999999999847e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.191781282424926758e+00,7.621280344523061956e+01,0.000000000000000000e+00,2.839699999999999847e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.385557889938354492e+00,7.981853016784592114e+01,0.000000000000000000e+00,2.839699999999999847e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.559679508209228516e+00,8.292753977371455676e+01,0.000000000000000000e+00,2.844600000000000151e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.880965948104858398e+00,8.596770124283652592e+01,0.000000000000000000e+00,2.849500000000000099e+01,2.707700000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.049221038818359375e+00,9.146469066894516686e+01,0.000000000000000000e+00,2.829899999999999949e+01,2.741900000000000048e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.236538648605346680e+00,9.429886045156048624e+01,0.000000000000000000e+00,2.839699999999999847e+01,2.717500000000000071e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.438139200210571289e+00,9.682697192068245329e+01,0.000000000000000000e+00,2.849500000000000099e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.061843776702880859e+01,9.980842233707303990e+01,0.000000000000000000e+00,2.854299999999999926e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.180836081504821777e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.859199999999999875e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.298228669166564941e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.873900000000000077e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.414522218704223633e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.864099999999999824e+01,2.707700000000000173e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.532587432861328125e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.869000000000000128e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.651768994331359863e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.869000000000000128e+01,2.722400000000000020e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.771011590957641602e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.878800000000000026e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.890537810325622559e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.878800000000000026e+01,2.722400000000000020e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.010436511039733887e+01,9.960571836623704201e+01,0.000000000000000000e+00,2.888599999999999923e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.127100753784179688e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.893499999999999872e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.250572514533996582e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.893499999999999872e+01,2.722400000000000020e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.368527603149414062e+01,9.885454351544305496e+01,0.000000000000000000e+00,2.927700000000000102e+01,2.722400000000000020e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.486721158027648926e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.932600000000000051e+01,2.737000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.604653382301330566e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.942299999999999827e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.723354125022888184e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.927700000000000102e+01,2.727299999999999969e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.839019608497619629e+01,9.970921914167767852e+01,0.000000000000000000e+00,2.947200000000000131e+01,2.712600000000000122e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.957380867004394531e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.957000000000000028e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.076395487785339355e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.961899999999999977e+01,2.732199999999999918e+01,2.300000000000000000e+01,2.300000000000000000e+01
