Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.487800000000000011e+01,2.443799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000438690185546875e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.492699999999999960e+01,2.424200000000000088e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.195689916610717773e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.492699999999999960e+01,2.438899999999999935e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.450839519500732422e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.497599999999999909e+01,2.448699999999999832e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.621424436569213867e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.487800000000000011e+01,2.443799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.830989122390747070e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.487800000000000011e+01,2.448699999999999832e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.011408329010009766e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.492699999999999960e+01,2.443799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.208285331726074219e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.497599999999999909e+01,2.433999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.394695043563842773e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.492699999999999960e+01,2.443799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.056217551231384277e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.497599999999999909e+01,2.438899999999999935e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.174068069458007812e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.497599999999999909e+01,2.453600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.291594815254211426e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.497599999999999909e+01,2.433999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.409650588035583496e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.492699999999999960e+01,2.443799999999999883e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.528416419029235840e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.502400000000000091e+01,2.453600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.647280430793762207e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.507300000000000040e+01,2.448699999999999832e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.766628885269165039e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.517099999999999937e+01,2.453600000000000136e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.884407377243041992e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.517099999999999937e+01,2.438899999999999935e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.002868890762329102e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.531800000000000139e+01,2.433999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
