Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.825000000000000000e+01,2.688200000000000145e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.001252651214599609e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.820100000000000051e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.170366287231445312e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.634400000000000119e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.333469867706298828e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.820100000000000051e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.482726573944091797e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.642860889434814453e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.788221359252929688e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.820100000000000051e+01,2.678399999999999892e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.937076568603515625e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.820100000000000051e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.088330507278442383e+00,1.000000000000000000e+02,0.000000000000000000e+00,2.829899999999999949e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.026726198196411133e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.141637086868286133e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.256134438514709473e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.370717573165893555e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.673499999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.485682272911071777e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.601162266731262207e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.825000000000000000e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.716453433036804199e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.839699999999999847e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.837196779251098633e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.834799999999999898e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.953518366813659668e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.859199999999999875e+01,2.634400000000000119e+01,2.300000000000000000e+01,2.300000000000000000e+01
