Tiempo (s), Cal1 (%), Cal2 (%), Temp1 (°C), Temp2 (°C), Set1 (°C), Set2 (°C)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000553131103515625e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,2.644200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.001170396804809570e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
3.001744031906127930e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790800000000000125e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
4.002267837524414062e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.780999999999999872e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
5.002871990203857422e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
6.003448247909545898e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
7.003925561904907227e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790800000000000125e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
8.004096269607543945e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.785900000000000176e+01,2.644200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
9.004547119140625000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790800000000000125e+01,2.653999999999999915e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.000512671470642090e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.790800000000000125e+01,2.658800000000000097e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.100570154190063477e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.800600000000000023e+01,2.644200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.200623345375061035e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.790800000000000125e+01,2.639300000000000068e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.300685405731201172e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.800600000000000023e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.400742936134338379e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.795700000000000074e+01,2.663700000000000045e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.500770640373229980e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.790800000000000125e+01,2.644200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.600808358192443848e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.790800000000000125e+01,2.644200000000000017e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.700865459442138672e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.785900000000000176e+01,2.668599999999999994e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.800918483734130859e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.800600000000000023e+01,2.663700000000000045e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.900958991050720215e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.805499999999999972e+01,2.683299999999999841e+01,2.300000000000000000e+01,2.300000000000000000e+01
2.000996780395507812e+01,2.000000000000000000e+01,0.000000000000000000e+00,2.810399999999999920e+01,2.649099999999999966e+01,2.300000000000000000e+01,2.300000000000000000e+01
